MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT; 
SCO NCR-FR : Paiement;SCO NCR : La carte est refusee;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Si le problème est systematique sur tous les clients et uniquement sur les SCO
Generer un DIAG et escalader vers le niveau 2
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) | SI ESC : > Verifier le log c:\scot\log\posm.log + reboot du SCO
> Si pb non resolu et que le problème ne se pose que sur les SCO, generer un diag et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1035; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : Ticket Reestaurant Dematerialise - Solde elligible à zero;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Verifier que la transaction du client contient des articles elligibles
> Si oui, escalader vers niveau 2 | SI ESC : > Verifier le log c:\scot\log\posm.log + reboot du SCO
> Si pb non resolu et que le problème ne se pose que sur les SCO, generer un diag et escalader au N3 pour contrôler côte monetique
 FR IT UMA N3 Encaissement";P3;SYM1036; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : Paiement espèces non-disponible;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Verifier que la caisse est bien en mode ESPECE (bon code operateur connecte) et pas uniquement CB 
> Demander de quitter le mode espèces uniquement, les modules espèces vont se reinitialiser, si pas d'erreur demander de reessayer le mode de paiement espèces ";P3;SYM1037; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : Mauvais rendu monnaie;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Demander les donnees de la transaction : Total, rendu monnaie theorique du ticket, et rendu reel au client
> Generer un fichier diagnostic et escalader vers niv 2 | SI ESC : > Generer un fichier diagnostic et escalader vers niveau 3 (ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT UMA N3 Encaissement";P3;SYM1038; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : La CAISSE SCO n'accepte plus les espèces;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Redemarrer le module
> Prelèvement à effectuer
Si KO, escalader le dossier ";P3;SYM1039; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : Paiement partiel indisponible;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Si le problème est systematique sur tous les clients et uniquement sur les SCO
Generer un DIAG et escalader vers le niveau 2 | SI ESC : > Verifier le log c:\scot\log\posm.log pour voir le comportement de l'encaissement + reboot du SCO
> Si problème non resolu, Generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1040; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : Carrefour Pay indisponible;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Si le problème est systematique sur tous les clients et uniquement sur les SCO
Generer un DIAG et escalader vers le niveau 2 | SI ESC : > Verifier le log c:\scot\log\posm.log pour voir le comportement de l'encaissement + reboot TPE
> Si problème non resolu, generer un fichier diagnostic et escalader au niveau 3 FR IT UMA N3 Encaissement";P3;SYM1041; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : Ticket restaurant / services papier non accepte;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Verifier que la transaction possède suffisament d'article elligibles aux titres restaurants
> Verifier le message s'affichant sur la fenêtre Terminal Services
> Generer un diagnostic et escalader vers le niveau 2 | SI ESC : > Verifier le log c:\scot\log\posm.log + reboot du SCO
> Si pb non resolu et que le problème ne se pose que sur les SCO, generer un diag et escalader au N3 pour contrôler côte encaissement
 FR IT UMA N3 Encaissement";P3;SYM1042; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : La caisse se bloque lorsque l'on scanne un ticket restaurant;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Demander à l'utilisateur s'il s'agit du 3ième ticket
Si oui,
Indiquer au client qu'il ne faut pas scanner plus de 2 tickets (idem caisse classique)
> Si caisse bloquee, arreter la caisse et la redemarrer
==> Si pb non resolu, generer un diag et transmettre à NCR Logiciel ";P3;SYM1043; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : Paiement carte cadeau non-accepte;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Si le problème est systematique sur tous les clients et uniquement sur les SCO
Generer un DIAG et escalader vers le niveau 2 | SI ESC : > Verifier le log c:\scot\log\posm.log + reboot du SCO
> Si pb non resolu et que le problème ne se pose que sur les SCO, generer un diag et escalader au N3 pour contrôler côte monetique
 FR IT UMA N3 Encaissement";P3;SYM1044; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : Decagnottage impossible;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Verifier que le serveur STAC est joignable et que le client a bien un solde > 0 sur STAC

Verification des logs par le N2 | SI ESC : > Verifier le log c:\scot\log\posm.log pour voir le comportement de l'encaissement
> Si problème non resolu, generer un fichier diagnostic et escalader au STAC N3 FR IT UMA N3 Encaissement";P3;SYM1045; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : mode aide indisponible;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" A quel moment de la transaction on est ?
Si l'utilisateur est sur l'ecran d'accueil, le comportement est normal.
Si l'utilisateur est en mode paiement, le comportement est normal.
> Le mode aide est disponible seulement en mode scan

NB : generer un diag avant escalade à NCR ";P3;SYM1046; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Paiement;SCO NCR : La SCO se fige après un paiement;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Paiement;" > Redemarrer la caisse
> Confirmer que le moyen de paiement a bien ete pris en compte (aller sur le serveur monetique et/ou dans le JE) La transaction est bien passee ? Pas de doublon ? | SI ESC : > Verifier le log c:\scot\log\posm.log pour voir le comportement de l'encaissement
> Si problème non resolu, Generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1047; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fin de transaction;SCO NCR : Ticket ne s'imprime pas / bourrage papier;Imprimante;Encaissement;Materiel;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Fin de transaction;" > Demander à l'utilisateur de :
- Verifier le message indiquant un problème Imprimante : Vérification des points : Problème réseau caiseau et Voyant SLIP allumé
- Enlever le papier, le couper au ciseau et le remettre
- Verifier que le ticket de test s'affiche correctement
- Verifier avec le magasin le grammag utilise pour le papier

Si KO, escalader vers NCR niveau 3 materiel ";P3;SYM1048; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fin de transaction;SCO NCR : Ticket sort blanc;Imprimante;Encaissement;Materiel;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Fin de transaction;" > Le papier a ete probablement charge dans le mauvais sens :
Demander à l'utilisateur de :
- enlever le papier, le couper au ciseau et le remettre dans le bon sens
- verifier que le ticket de test d'affiche correctement

Si KO, escalader vers NCR niveau 3 materiel ";P3;SYM1049; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fin de transaction;SCO NCR : La SCO ne revient pas à l'ecran de bienvenue;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Fin de transaction;" > Faire verifier le bon positionnement du plateau balance
> Demander à l'hôtesse d'appuyer sur Aide et de passer son badge
> Si problème systematique à chaque client escalader vers NCR niveau 3 logiciel

NB : generer un diag avant escalade ";P3;SYM1050; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fin de transaction;SCO NCR : Pas de coupon imprime;Imprimante;Encaissement;Materiel;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Fin de transaction; > Faire verifier la connexion et configuration de l'imprimante FID. Vérification des points : Problème réseau caiseau et Voyant SLIP allumé;P3;SYM1051; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fonctions hôtesse;SCO NCR : Les boutons affiches pour un operateur ne sont pas corrects par rapport à son niveau (il a plus de droits ou pas assez de droits);Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Fonctions hôtesse; > Verifier le profil de l'utilisateur sur Carine ;P3;SYM1052; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fonctions hôtesse;"SCO NCR : Le menu Maintenance securite affiche : ""Securite Oflline""";Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Fonctions hôtesse;" > Verifier la communication vers le SCO maître. Effectuer un ping
Si ping OK effectuer un redemarrage système du SCO maître
Si toujours KO escalader vers niveau 2 | SI ESC : > Generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1053; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fonctions hôtesse;"SCO NCR : Le menu Rapports indiquent : ""Reporting deconnecte""";Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Fonctions hôtesse;" > Verifier la communication vers le SCO maître. Effectuer un ping
Si ping OK effectuer un redemarrage système du SCO maître
Si toujours KO escalader vers niveau 2 | SI ESC : > Generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1054; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fonctions hôtesse;SCO NCR : Un titre restaurant ne peut être enregistre (message d'erreur);Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Fonctions hôtesse;" > Verifier que le total des articles elligibles est correct par rapport au montant du titre restaurant
> On ne peut pas enregistrer plus de 2 titres restaurant par transaction ";P3;SYM1055; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fonctions hôtesse;SCO NCR : Un titre restaurant ne peut être lu sur la douchette (ne bip pas);Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Fonctions hôtesse; > Faire reparametrer la douchette par le magasin ;P3;SYM1056; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fonctions hôtesse;SCO NCR : Impossible d'annuler un article;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Fonctions hôtesse; > Reboot du SCO. Si malgre cela le problème est toujours là, envoyer à NCR ;P3;SYM1057; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes ecran;SCO NCR : Ecran noir;Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes ecran;" > Demander au magasin de :
- verifier si l'ecran est allume ou eteint
- verifier si l'UC est allumee (la rallumer si besoin)
- verifier les connexions
- verifier s'il n'y a pas une panne de courant ou si la prise est debranchee
> Si KO escalader vers NCR Materiel ";P3;SYM1058; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes ecran;SCO NCR : Ecran fige;Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes ecran;" > Noter les circonstances de l'incident, actions effectuees precedemment
> Si possible generer un fichier diagnostic et escalader vers le niveau 2 | SI ESC : > Verifier le log c:\scot\log\posm.log pour voir le comportement de l'encaissement + reboot du SCO
> Si problème non resolu, Generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1059; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes ecran;SCO NCR : Ecran tacticle non-calibre;Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes ecran;" > Demander à l'utilisateur de :
- redemarrer le système via le menu utilitaires
Si KO, escalader vers NCR niveau 3 materiel ";P3;SYM1060; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes ecran;SCO NCR : Message antivirus;Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes ecran; Escalader vers l'equipe Carrefour en charge de l'antivirus (Bureautique ou equipe Denis Poisson) ;P3;SYM1061; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes ecran;"SCO NCR : Ecrans ""bleu"" Windows (BSOD)";Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes ecran;" Au boot suivant :
Generer un DIAG et escalader vers NCR niveau 3 logiciel
Il se peut que la creation du DIAG prenne beacoup de temps (env 30 min), car integration d'un dump memoire ";P3;SYM1062; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes ecran;"SCO NCR : Message ""POS desynchronise""";Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes ecran;" > Demander et noter les circonstances exactes du problème
> Demander au magasin de reproduire le problème avec connexion à distance
> Verifier et noter le statut sur la fenêtre Terminal Services.
Generer un diag et escalader vers niv 3 ";P3;SYM1063; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Fermeture caisse;SCO NCR : La SCO ne se ferme pas;Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Fermeture caisse;" > Verifier la fenêtre Terminal Services
> Generer un fichier diagnostic et escalader vers le niveau 2 | SI ESC : > Verifier le log c:\scot\log\posm.log pour voir le comportement de l'encaissement
> Si problème non resolu, generer un fichier diagnostic et escalader au N3 FR IT UMA N3 Encaissement";P3;SYM1064; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes de reprise transaction selfscanning;SCO NCR : Transaction non trouvee;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes de reprise transaction selfscanning;" > Verifier sur le BO Scaneo si la transaction est en fin de courses
> Verifier sur Carine si la transaction est arrivee sur le serveur d'encaissement
* si arrivee : problème Carine
* si pas arrivee : problème reseau : se reporter au cas ""echec lors du vidage"" => ouvrir un dossier auprès des equipes reseau | SI ESC : Si souci Carine :
- verifier la purge des fichiers .OUT

Si les fichiers ne sont pas purges => escalader à FR IT UMA N3 Encaissement pour realisation de la purge sur Carine

Si les fichiers ne sont pas purges => effectuer un 1er contrôle reseau, si pas de souci escalader à FR IT EDITEUR N3 SCO NCR LOGICIEL EXT FR IT UMA N3 Encaissement
ou
FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1065; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Problèmes de reprise transaction selfscanning;SCO NCR : Ticket errone;Paiement;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Problèmes de reprise transaction selfscanning;" > Verifier sur le BO Scaneo si la transaction est presente et la comparer avec la transaction sur Carine (même carte client, même detail de courses)
> verifier si l'erreur est sur le montant d'un article (attention prix carine qui fait foi) 
* si pas d'anomalie cloturer l'incident
* si le ticket affiche en caisse ne correspond pas à la transaction du client transferer l'incident au support N2
 | SI ESC : Investiguer au niveau N2 (carine ou self scanning)

=> si toujours non resolu, escalader au N3 FR IT UMA N3 Encaissement";P3;SYM1066; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Application;SCO NCR : Problème dB483:B748e connexion entre modules/caisse/reseau;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Application;" > Si pb reseau => escalader au reseau

> Si le pb n'est pas reseau, generer un diagnostic et escalader le dossier à NCR LOGICIEL pour voir d'où vient le problème ";P3;SYM1067; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Materiel;SCO NCR : Materiel KO (Ecran, module, K7…); ;Caisse;Materiel;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Materiel;" 

> Escalader le dossier vers niveau 3 materiel
 ";P3;SYM1068; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Materiel;SCO NCR : Porte ne se verrouille / deverrouille pas;Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Materiel;  ;P3;SYM1069; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Materiel;"Remplissage
Bourrage (ex : pièce inseree dans le module billet)"; ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Materiel;" CI-10:
- Se referer au document listant les codes erreurs pour identifier l'origine et localiser le problème dans les modules. | SI ESC : > Generer un fichier diagnostic et escalader vers NCR niveau 3 Glory
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR MATERIEL ODM";P3;SYM1070; ;23/02/2023; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;; ; 
SCO NCR-FR : Materiel;SCO NCR : Ticket de caisse bloque et enroule dans l'imprimante;Imprimante;Encaissement;Materiel;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Materiel;" > Voir si le probleme est systematique > le magasin doit revoir son fournisseur pour changer le grammage du papier. Vérification des points : Problème réseau caiseau et Voyant SLIP allumé
> Si problème aleatoire > Changer l'imprimante
> Indiquer à l'utilisateur de sortir un duplicata de la transaction pour le client ";P3;SYM1071; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Materiel;Rejet billet, pièces; ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Materiel;" CI-10:
1. Le problème est systematique
- Demander à l'utlisateur de verifier l'etat du capteur de reconnaissance (nettoyage)
- Demander à l'utlisateur de verifier si presence de pièces à l'entree de l'automate billets
==> Si KO, escalader vers NCR MATERIEL GLORY

2. Si le problème est ponctuel (pièces etrangères ou un billet en particulier)
le CI-10 fait son travail (rejet contrefaçon ou devise etrangère)
==> Fermeture de l'incident ";P3;SYM1072; ;23/02/2023; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;; ; 
SCO NCR-FR : Materiel;SCO NCR : Le scanner du portillon ne reconnait pas le code à barre de sortie;Scanner / Balance;Encaissement;Materiel;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Materiel;" Il s’agit probablement du parametrage de ce dernier, son installation et parametrage est effectue par RASEC.

Le magasin doit demander au service technique d'intervenir (celui-ci prend directement contact avec Rasec). Clôturer la demande en demandant à l'utilisateur de solliciter Pascal LEGLISE (06 84 75 48 81 ) ";P3;SYM1073; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Materiel;SCO NCR : Câble arrache; ;Encaissement;Materiel;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Materiel;" 
Si KO, si le câble est maintenu par NCR, escalader vers NCR niveau 3 materiel ou WIncor. Sinon (ex. câble TPE).";P3;SYM1074; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Encaissement / rendu monnaie;Le client a insere ses pieces/billet, mais machine KO ensuite (pas de rendu monnaie); ;Caisse libre service ;Monnayeur;Caisse libre service \ Monnayeur;SCO NCR-FR;08 - Matériel défectueux;SCO NCR-FR : Encaissement / rendu monnaie;" Si message erreur se referer aux documentations
CI-10B_Code_Erreur.pdf
CI-10C_Code_Erreur.pdf

Sinon, collecter les logs
Transferer les logs & etats au SIC N2 FO | SI ESC : Analyser les logs mis à disposition

=> Si analyse KO, escalader vers NCR MATERIEL GLORY FR IT EDITEUR N3 SCO NCR MATERIEL ODM";P3;SYM1075; ;23/02/2023; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;; ; 
SCO NCR-FR : Encaissement / rendu monnaie;SCO NCR : Rendu monnaie OK, mais caisse restee en standby ensuite;Poste assistant;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Encaissement / rendu monnaie;" CI-10:
> Retirer le(s) billet(s) restant en zone rendu monnaie

Paystation:
> Collecter les logs du jour concernee
> Transferer les logs au SIC N2 FO

 | SI ESC : Analyser les logs mis à disposition

=> Si analyse KO, escalader vers NCR niveau 3 logiciel

 FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1076; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
