MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT; 
MATERIEL KO : SCO;SCO NCR : demande de perte de clefs jaune sur les caisse libre service.;Autre (logiciel);Encaissement;SCO;Materiel \ SCO \ NCR;MATERIEL_SCO-FR;08 - Matériel défectueux;AUTONOMIE UTILISATEUR;DEVIS;P3;SYM1013;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;MATERIEL_SCO_NCR-FR;Materiel \ SCO \ NCR;26731835; ; 
SCO - NCR -LOGICIEL;"SCO NCR : ""Connexion hotesse"" grise";Autre (logiciel);Encaissement;SCO;Caisse libre service \ Ouverture \ Connexion hotesse grisee;SCO NCR-FR;01 - Défaillance applicative;SCO - NCR -LOGICIEL; Supprimer les fichiers INITBASE et CADDRUNTIME et Reboot de la SCO => Si KO ESCALADE N2;P3;SYM1014; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Ouverture \ Connexion hotesse grisee;26731835; ; 
SCO DIEBOLD;SCO DIEBOLD ne charge pas , dll manquante; ;Caisse libre service ;Parametrage;Caisse libre service \ Parametrage;SCO DIEBOLD-FR;01 - Défaillance applicative;SYSTEM;Recuperer sur un autre SCO la DLL dans D pos caisse prog bin. ;P4;SYM1015; ; ; ; ; ; ; ;SCO NCR-FR;Caisse libre service \ Parametrage;; ; 
SCO NCR-FR : Ouverture caisse / Identification hôtesse / connexion;SCO NCR : Login operateur refuse;Bloque / figee;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Ouverture caisse / Identification hôtesse / connexion;" > Verifier que le badge n'a pas expire (Est-ce que le badge a ete imprime ce-jour ?)
> Demander de saisir le code au lieu de scanner le badge, 
- si ok, demander de reimprimer le badge
- si non ok, demander de verifier le code operateur et son mot de passe sur Carine et demander de modifier le mot de passe sur Carine
Si KO, escalader au niveau 2 | SI ESC : > Verifier le code operateur et mot de passe sur Carine
> Verifier le log c:\scot\log\posm.log
> Si KO, Generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel (ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1016; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Ouverture caisse / Identification hôtesse / connexion;SCO NCR : Caisse bloquee - Reste sur NCR SELF SERV CHECKOUT;Bloque / figee;Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Ouverture caisse / Identification hôtesse / connexion;" > Redemarrer le caisse
Si KO, escalader le dossier | SI ESC : Generer un fichier diagnostic et escalader (ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT UMA N3 Encaissement";P3;SYM1018; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Scanning article;SCO NCR : Message article inconnu à l'ecran;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Scanning article;" > Verifier que l'article passe bien en caisse traditionnelle
Si oui escalader vers le niveau 2, sinon demander au magasin de verifier l'article sur l'encaissement | SI ESC : > Si le problème ne se produit que sur le SCO > Generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT UMA N3 Encaissement";P3;SYM1019; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Scanning article;SCO NCR : Difficultes pour scanner l'article;Scanner;Caisse libre service ;Parametrage;Caisse libre service \ Parametrage \ Scanner;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Scanning article;" > Verifier la qualite des codes-barre
> demander à l'hotesse de saisir le code | SI ESC : > Si problème systematique escalader au niveau 3 avec les tests realises FR IT UMA N3 Encaissement";P3;SYM1020; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Parametrage \ Scanner;26731835; ; 
SCO NCR-FR : Scanning article;SCO NCR : Article affiche different du produit scanne ou prix different;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Scanning article;" > Verifier que l'article passe bien en caisse traditionnelle
- Si oui, escalader vers niveau 2, sinon problème encaissement | SI ESC : > Si le problème ne se produit que sur le SCO (et non sur caisse traditionnelle) > Generer un fichier diagnostic et escalader vers NCR niveau 3 logiciel
(ajouter le lien filexchange dans le commentaire SANS attacher de PJ au ticket) FR IT EDITEUR N3 SCO NCR LOGICIEL EXT";P3;SYM1021; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Scanning article;SCO NCR : Douchette ne fonctionne pas;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Scanning article;" > Verifier la connexion de la douchette (port USB)
> Demander au magasin de reparametrer la douchette avec la planche de code à barres | SI ESC : Si connexion et reparametrage effectue, escalader vers NCR niveau 3 materiel FR IT EDITEUR N3 SCO NCR MATERIEL ODM";P3;SYM1022; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Scanning article;SCO NCR : Se bloque quand le client clique sur scan pour les scanettes;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Scanning article;" Si le SCO affiche transaction non trouvee, verifier sur Carine si les fichiers sont bien transferes dans le repertoire c:\SCAN 
Si le SCO se bloque sans message, generer un fichier diagnostic
=> escalader au N3 pour pousser les contrôles : reseau, AP1 ...
 ";P3;SYM1023; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO NCR-FR : Scanning article;SCO NCR : Ecran blanc;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO NCR-FR : Scanning article;" Si ecran complètement blanc essayer un reboot complet du SCO
Si toujours problème escalader vers NCR niveau 3 materiel

Si l'ecran comporte un message noter le message et tenter un reboot complet du SCO
Si toujours problème escalader vers NCR niveau 3 logiciel ";P3;SYM1024; ;23/02/2023; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
